"destacado_fmd_si_no","categoria_curada","design_id","slug","nombre_visible","ids_origen","categoria_album_actual","tags_actuales","imagen_principal","destacado_actual","visibility_tier_actual","commercial_priority_actual"
"","","cd-megadeth-killing-is-my-business-fmd--p7005","cd-megadeth-killing-is-my-business-fmd-p7005","Killing is My Business FMD","7005","Buzo Cuello Redondo | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | buzo_cuello_redondo | Megadeth Archive","images/buzos cuello redondo/megadeth_killing_original_fmd.jpg","SI","featured","78"
"","","cd-megadeth-killing-is-my-bussines--killing-is-my-business-fmd-edition","cd-megadeth-killing-is-my-bussines-killing-is-my-business-fmd-edition","Killing Is My Business FMD Edition","6026","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | Megadeth Archive | Megadeth Albums","images/fmd-edition-3d/killing/killing_final_3d_edition.jpg","NO","catalog","66"
"","","cd-megadeth-killing-is-my-bussines--killing-original","cd-megadeth-killing-is-my-bussines-killing-original","Killing Original","1","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | buzo_cuello_redondo | Megadeth Albums","images/albums/Killing_Is_my_bussines/remera_killing_original.jpg","SI","featured","88"
"","","cd-megadeth-killing-original--p5057-v1","cd-megadeth-killing-original-p5057-v1","Killing Original","5057","Hoodies FMD | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | hoodie | Megadeth Archive","images/hoddies_fmd/killing_original.jpg","SI","featured","78"
"","","cd-megadeth-killing-original--p5057-v3","cd-megadeth-killing-original-p5057-v3","Killing Original","5057","Hoodies FMD | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | hoodie | Megadeth Archive","images/albums/Killing_Is_my_bussines/hoodie_killing_original.jpg","SI","featured","78"
"","","cd-megadeth-killing-remaster--p5057","cd-megadeth-killing-remaster-p5057","Killing Remaster","5057","Hoodies FMD | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | hoodie | Megadeth Archive","images/hoddies_fmd/killing_remaster.jpg","SI","featured","78"
"","","cd-megadeth-killing-is-my-bussines--killing-retro-fmd","cd-megadeth-killing-is-my-bussines-killing-retro-fmd","Killing Retro FMD","1","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | buzo_cuello_redondo | Megadeth Albums","images/albums/Killing_Is_my_bussines/remera_killing_retro_fmd.jpg","SI","featured","88"
"","","cd-megadeth-killing-retro-fmd--p5057","cd-megadeth-killing-retro-fmd-p5057","Killing Retro FMD","5057","Hoodies FMD | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | Killing Is My Business... and Business Is Good! | hoodie | Megadeth Archive","images/albums/Killing_Is_my_bussines/hoodie_killing_retro_fmd.jpg","SI","featured","78"
"","","cd-megadeth-the-sick-the-dying-and-the-dead--killing-time","cd-megadeth-the-sick-the-dying-and-the-dead-killing-time","Killing Time","5022","Singles | The Sick, the Dying... and the Dead!","Megadeth | Megadeth Vault | Thrash Metal | The Sick, the Dying... and the Dead! | remera | Megadeth Archive | Megadeth Singles","images/singles/killing_time.jpg","NO","catalog","58"
"","","cd-megadeth-killing-is-my-bussines--killing-v1","cd-megadeth-killing-is-my-bussines-killing-v1","Killing V1","1","Album | Killing Is My Business... and Business Is Good!","Megadeth | Megadeth Vault | Thrash Metal | FMD Editions | Killing Is My Business... and Business Is Good! | remera | buzo_cuello_redondo | Megadeth Albums","images/albums/Killing_Is_my_bussines/remera_killing_v1.jpg","SI","featured","88"
