id,code,name,legacyCategory,declaredGarments,inferredGarments,proposedGarments,variantGarments,variantsCount,status,missingFromDeclared,unsupportedDeclared,designKey,image
"5030","","Vic Symphony","VicRattlehead","remera","remera","remera","","2","consistent","","","vic-symphony","images/vic_rattlehead/vic_symphony.jpg"
"5050","","Dave and Vic Live","VicRattlehead","remera","remera","remera","","0","consistent","","","dave-and-vic-live","images/vic_rattlehead/dave_and_vic_live.jpg"
"5051","","Vic Peace 25","VicRattlehead","remera","remera","remera","","2","consistent","","","vic-peace-25","images/vic_rattlehead/vic_peace_25_black.jpg"
"5053","","Hangar 18","Singles","remera","remera","remera","","3","consistent","","","hangar-18","images/singles/hangar_18_single_frente.jpg"
"6031","","Lucretia","Singles","remera","remera","remera","","1","consistent","","","lucretia","images/singles/lucretia.jpg"
"5054","","Vic Black Friday","VicRattlehead","remera","remera","remera","","0","consistent","","","vic-black-friday","images/vic_rattlehead/vic_black_friday.jpg"
"6023","","Vic & Friends â€” FMD Edition","VicRattlehead","remera","remera","remera","","2","consistent","","","vic-friends-a","images/vic_rattlehead/vic_and_friends_fmd_edition.jpg"
"6024","","Vic Demons","VicRattlehead","remera","remera","remera","","1","consistent","","","vic-demons","images/vic_rattlehead/vic_demons.jpg"
"6022","","Fast... Loud... and Rude! â€” Skull Splitting Metal","Orígenes","remera","remera","remera","","8","consistent","","","fast-loud-and-rude-a-skull-splitting-metal","images/orígenes/frente_blanca_v1.png"
"5057","","Hoodie Killing Original","Hoodies FMD","hoodie","hoodie","hoodie","hoodie","6","consistent","","","killing","images/hoddies_fmd/killing_original.jpg"
"5061","","Hoodie Peace Sells","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","peace-sells","images/hoddies_fmd/peace_sells.jpg"
"5056","","Hoodie Dave SFSGSW Era","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","dave-sfsgsw-era","images/hoddies_fmd/dave_sfsgsw_era.jpg"
"5062","","Hoodie Rust in Peace","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","rust-in-peace","images/hoddies_fmd/rust_in_peace.jpg"
"5071","","Hoodie Rust in Peace 1990","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","rust-in-peace","images/hoddies_fmd/rust_in_peace_1990.jpg"
"5055","","Hoodie Countdown","Hoodies FMD","hoodie","hoodie","hoodie","hoodie","2","consistent","","","countdown","images/hoddies_fmd/countdown.jpg"
"5064","","Hoodie Youthanasia","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","youthanasia","images/hoddies_fmd/youthanasia.jpg"
"5065","","Hoodie Cryptic Writings","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","cryptic-writings","images/hoddies_fmd/cryptic.jpg"
"5066","","Hoodie Dystopia","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","dystopia","images/hoddies_fmd/dystopia.jpg"
"5059","","Hoodie Megadeth Final","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","megadeth-final","images/hoddies_fmd/megadeth_final_black.jpg"
"5060","","Hoodie Megadeth Blanco","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","megadeth-blanco","images/hoddies_fmd/megadeth_final_white.jpg"
"5063","","Hoodie Vic Father","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","vic-father","images/hoddies_fmd/vic_father_original.jpg"
"5067","","Hoodie Made to Kill","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","made-to-kill","images/hoddies_fmd/made_to_kill.jpg"
"5068","","Hoodie I Don't Care","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","i-don-t-care","images/hoddies_fmd/i_dont_care.jpg"
"5069","","Hoodie Let There Be Shred","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","let-there-be-shred","images/hoddies_fmd/let_there_be_shred.jpg"
"5070","","Hoodie Tipping Point","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","tipping-point","images/hoddies_fmd/tipping_point.jpg"
"5072","","Hoodie Vic Promo Tour 2026","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","vic-promo-tour","images/hoddies_fmd/vic_promo_tour_2026.jpg"
"5073","","Hoodie Vic Digital DLB","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","vic-digital-dlb","images/hoddies_fmd/vic_digital_dlb.jpg"
"5074","","Hoodie Merch Tour V1","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","merch-tour","images/tours/merch tour this was our life 2026/hoodies/merch_tour_v1.jpg"
"5075","","Hoodie Vic Militar","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","vic-militar","images/hoddies_fmd/vic_militar_hoodie.png"
"5076","","Hoodie Guitarra Argentina","Hoodies FMD","hoodie","hoodie","hoodie","","0","consistent","","","guitarra-argentina","images/hoddies_fmd/guitarra_argentina.png"
"7001","","Buzo Rust in Peace FMD","Buzo Cuello Redondo","buzo_cuello_redondo","buzo_cuello_redondo","buzo_cuello_redondo","","0","consistent","","","rust-in-peace","images/buzos cuello redondo/megadeth_rust_in_peace_original_fmd.jpg"
